song_key,total_ms_played,total_minutes_played,total_hours_played,play_count
Lil Uzi Vert - The Way Life Goes (feat. Oh Wonder),95632863,1593.88105,26.564684166666666,820
The Weeknd - Is There Someone Else?,92215334,1536.9222333333332,25.615370555555554,820
Darkoo - Gangsta,87702397,1461.7066166666666,24.361776944444443,764
Tory Lanez - The Color Violet,87085076,1451.4179333333334,24.19029888888889,820
Lil Uzi Vert - 20 Min,85570382,1426.1730333333333,23.769550555555554,880
Daniel Caesar - Get You (feat. Kali Uchis),81053700,1350.895,22.514916666666668,659
Rushy - Hi! Bye!,80543176,1342.3862666666666,22.373104444444444,959
The Notorious B.I.G. - Hypnotize - 2014 Remaster,77211615,1286.86025,21.447670833333333,631
Kendrick Lamar - Money Trees,76859407,1280.9901166666666,21.34983527777778,658
Rosa Walton - I Really Want to Stay at Your House,75362645,1256.0440833333334,20.934068055555556,542
DEAN - love,75305486,1255.0914333333333,20.918190555555555,824
A$AP Rocky - Praise The Lord (Da Shine) (feat. Skepta),69648012,1160.8002,19.34667,915
JAY1 - Flex (feat. JB Scofield),65731572,1095.5262,18.258770000000002,681
Lil Uzi Vert - XO Tour Llif3,65599001,1093.3166833333332,18.221944722222222,771
BlackMayo - Jus' Know,63766182,1062.7697,17.712828333333334,696
Don Toliver - No Idea,60205367,1003.4227833333333,16.723713055555557,812
Khalid - 8TEEN,55343757,922.39595,15.373265833333333,537
J. Cole - No Role Modelz,54904582,915.0763666666667,15.251272777777778,559
Travis Scott - SICKO MODE,53933117,898.8852833333333,14.981421388888888,499
Travis Scott - HIGHEST IN THE ROOM,53151811,885.8635166666667,14.764391944444444,697
